sp,sex,index,FL,RW,CL,CW,BD
O,F,23,17.5,14.6,33.3,37.800000000000004,14.799999999999999
O,F,24,17.5,14.2,34.2,38.6,15.7
O,F,25,17.9,15.0,34.7,39.3,15.899999999999999
O,F,26,18.0,16.1,38.0,43.2,17.2
O,F,27,18.400000000000002,15.6,34.9,40.5,16.0
O,F,28,18.4,15.3,35.4,40.0,15.8
O,F,29,18.599999999999998,15.7,36.7,41.6,16.5
O,F,30,18.6,14.7,37.0,42.0,16.400000000000002
O,F,31,18.700000000000003,14.5,34.6,39.6,14.9
O,F,32,18.7,15.1,36.0,40.6,16.400000000000002
O,F,33,18.799999999999997,16.5,36.5,41.5,15.3
O,F,34,19.200000000000003,15.8,38.0,42.199999999999996,16.6
O,F,35,19.200000000000003,16.400000000000002,37.8,42.4,17.0
O,F,36,19.599999999999998,16.5,39.699999999999996,43.800000000000004,18.099999999999998
O,F,37,19.9,16.6,39.5,43.699999999999996,18.099999999999998
O,F,38,19.7,18.099999999999998,40.300000000000004,46.5,17.799999999999997
O,F,39,19.8,16.5,40.199999999999996,45.1,17.7
O,F,40,19.900000000000002,17.3,39.699999999999996,44.0,18.700000000000003
O,F,41,20.400000000000002,16.2,39.5,44.0,17.9
O,F,42,20.7,17.5,40.1,45.3,19.2
O,F,43,20.700000000000003,17.3,41.7,46.1,19.4
O,F,44,20.7,16.4,39.8,44.7,17.5
O,F,45,21.3,18.4,43.599999999999994,48.199999999999996,20.0
O,F,46,21.599999999999998,17.9,41.300000000000004,46.2,18.7
O,F,47,21.8,17.3,41.7,47.2,19.700000000000003
O,F,48,22.0,17.2,42.5,47.6,19.6
O,F,49,22.4,17.0,43.1,48.7,19.7
O,F,50,23.3,20.3,46.300000000000004,52.6,21.1
